system:index,center_lat,center_lon,col,grid_id,groups,numeric_id,region,row,.geo
0,44.11228889687388,25.112288896873878,0,grid_0000_0000,"[{treecover_class=1, mean=[58.573102466468704, 23.590752623242825, 1.9626380261996956, 5.832513066138256], median=[50.0, 20.0, 2.0, -2.5969974546711496], stdDev=[25.925136812494276, 12.03544433817534, 10.254868251268475, 83.78508454994927], min=[0, 0, -52, -30], max=[212, 154, 99, 960], count=[4022, 4022, 4022, 4022], p10=[38.0, 14.0, -5.0, -10.133331108366987], p25=[42.0, 16.0, -2.0, -6.332411632356961], p75=[67.0, 27.0, 4.0, -2.5969974546711496], p90=[93.0, 37.0, 6.0, 0.989619442351168]}, {treecover_class=2, mean=[97.16871165644172, 35.68711656441718, -1.2177914110429449, 2.098159509202454], median=[97.0, 34.0, -2.0, -6.407582938388626], stdDev=[32.669788714639544, 12.515522373227425, 9.275030271280938, 72.19033420369249], min=[4, 6, -15, -16], max=[233, 94, 97, 922], count=[652, 652, 652, 652], p10=[58.0, 21.0, -8.0, -10.165354330708661], p25=[74.5, 28.0, -5.0, -6.407582938388626], p75=[114.5, 42.0, 1.0, -2.847682119205298], p90=[138.0, 52.0, 5.0, 5.074074074074074]}, {treecover_class=3, mean=[117.01835706210358, 40.23205012742637, -3.160831880225599, 3.533319281302495], median=[111.0, 37.0, -4.0, -2.7312430682533497], stdDev=[39.24840889490206, 15.512583289180371, 9.179803152712347, 70.92016148468585], min=[0, 0, -17, -30], max=[247, 125, 99, 960], count=[1845, 1845, 1845, 1845], p10=[72.0, 23.999999999999996, -10.0, -10.209677419354838], p25=[92.0, 29.0, -7.0, -6.365161745439886], p75=[139.0, 49.0, -1.0, 1.2256379258235828], p90=[171.0, 61.0, 3.0, 9.16]}, {treecover_class=4, mean=[141.74611074737385, 48.16375709046242, -4.824249236634587, 5.950234948519911], median=[143.0, 48.0, -6.0, -2.5671641791044775], stdDev=[42.45556147500206, 15.907263209873793, 9.991348924194723, 76.02847797387439], min=[11, 9, -18, -20], max=[245, 151, 99, 960], count=[2033, 2033, 2033, 2033], p10=[91.0, 28.0, -12.0, -10.295605437875436], p25=[112.0, 36.0, -9.0, -6.464027559902802], p75=[173.0, 58.0, -2.0, 5.400943396226415], p90=[196.0, 68.0, 2.0, 13.26]}]",0,East6,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,44.33686669062163,25.112288896873878,0,grid_0001_0000,"[{treecover_class=1, mean=[79.2638799868783, 33.44936115807448, 1.2897793703264444, 5.765415899131108], median=[61.535545023696685, 24.546938775510203, 0.0, -6.520771837242191], stdDev=[60.4040009995385, 26.72922843850347, 10.977488247395197, 92.37624768051577], min=[0, 0, -77, -30], max=[586, 297, 99, 960], count=[4672, 4672, 4672, 4672], p10=[41.55776917022885, 14.518294116110834, -4.999999999999999, -9.986587396865936], p25=[45.497096073819435, 18.510005340370057, -2.0, -9.986587396865936], p75=[89.29525783250031, 38.516129032258064, 3.0, -2.6847815659418024], p90=[129.34285714285716, 60.3, 6.0, 0.9821042964580903]}, {treecover_class=2, mean=[95.50664374485154, 36.662512087675935, -0.9859245729021167, 3.61810107087855], median=[84.75, 34.0, -2.0, -6.389830508474576], stdDev=[45.976137424131274, 18.551071576354726, 10.246060397991501, 81.35045533139817], min=[0, 0, -29, -30], max=[351, 134, 99, 959], count=[329, 329, 329, 329], p10=[48.0, 18.0, -8.0, -10.056603773584905], p25=[66.0, 25.0, -5.0, -6.389830508474576], p75=[124.71428571428571, 43.0, 2.0, -2.7125], p90=[148.16666666666666, 53.0, 4.0, 5.153846153846154]}, {treecover_class=3, mean=[116.57685347167764, 43.58706528623997, -3.3482762260963987, 0.16728562164444716], median=[105.54255319148936, 39.0, -4.0, -6.575364667747164], stdDev=[55.82250318715351, 23.27327003614881, 7.947893734996138, 59.08510303977447], min=[5, 3, -17, -16], max=[516, 230, 99, 960], count=[2081, 2081, 2081, 2081], p10=[69.30188679245283, 25.0, -10.0, -10.068965517241379], p25=[85.89247311827957, 32.0, -7.0, -10.068965517241379], p75=[129.36, 47.0, -1.0, -2.711684707776389], p90=[157.07692307692307, 60.0, 2.0, 5.314285714285714]}, {treecover_class=4, mean=[124.78062098360367, 49.01956781713925, -2.7582978145547408, -0.6127197382196659], median=[112.39583333333333, 45.00000000000001, -2.9999999999999996, -6.666613848835367], stdDev=[52.38983175948285, 21.1140925449532, 8.458850203012005, 60.95395268959013], min=[5, 6, -35, -20], max=[485, 182, 99, 959], count=[1794, 1794, 1794, 1794], p10=[74.5, 28.0, -9.999999999999998, -10.259335731950662], p25=[90.53571428571429, 36.0, -6.0, -10.259335731950662], p75=[148.53846153846155, 57.0, 0.0, -2.7466666666666666], p90=[180.57142857142858, 73.0, 3.0000000000000004, 5.263005780346821]}]",1,East6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,44.56144448436939,25.112288896873878,0,grid_0002_0000,"[{treecover_class=1, mean=[62.360128358868884, 26.12072332500385, 1.3942781153487998, 7.411818595957635], median=[54.0, 22.0, 1.0, -2.6935933147632314], stdDev=[27.376775025209493, 13.210512848166669, 11.255455158468447, 89.96740127774002], min=[0, 0, -28, -30], max=[242, 139, 99, 960], count=[2346, 2346, 2346, 2346], p10=[39.0, 14.0, -6.0, -10.057333657115104], p25=[44.0, 17.0, -3.0, -6.435610651338343], p75=[73.0, 32.0, 4.0, -2.6935933147632314], p90=[101.0, 44.0, 6.0, 5.288659793814433]}, {treecover_class=2, mean=[89.334065397755, 34.548281391619604, -0.908979990239141, 3.02593599665342], median=[86.0, 35.0, -2.0, -6.553398058252427], stdDev=[32.18302411862686, 11.221259714684367, 9.853137547331166, 59.54654195325187], min=[3, 4, -32, -19], max=[176, 68, 73, 538], count=[338, 338, 338, 338], p10=[49.0, 20.0, -8.0, -10.257142857142858], p25=[65.0, 26.0, -5.0, -6.553398058252427], p75=[113.0, 42.0, 2.0, -2.8620689655172415], p90=[134.0, 49.0, 5.0, 1.1]}, {treecover_class=3, mean=[110.46417123320441, 40.571863625824825, -3.4001593534592214, 1.8772223919211848], median=[112.0, 41.0, -4.0, -6.562393162393162], stdDev=[32.35292054155201, 11.034702503572028, 9.089094218305856, 61.98078456140891], min=[0, 0, -18, -30], max=[176, 92, 99, 960], count=[2134, 2134, 2134, 2134], p10=[65.0, 26.0, -11.0, -10.17435725651118], p25=[88.0, 34.0, -8.0, -10.17435725651118], p75=[135.0, 48.0, 0.0, 1.2747747747747749], p90=[152.0, 54.0, 4.0, 9.238636363636363]}, {treecover_class=4, mean=[120.2667806096576, 44.16693649869466, -5.090070056157617, -0.48973198354713293], median=[124.0, 44.0, -6.0, -2.746031746031746], stdDev=[31.147907831303, 11.354418180016104, 6.966787154582192, 37.996162608568895], min=[5, 11, -18, -16], max=[192, 96, 99, 960], count=[1045, 1045, 1045, 1045], p10=[75.0, 30.0, -11.0, -10.308833595412079], p25=[101.0, 37.0, -9.0, -6.560311284046692], p75=[142.0, 52.0, -3.0, 1.3725490196078431], p90=[158.0, 58.0, 2.0, 9.068181818181818]}]",2,East6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,44.78602227811714,25.112288896873878,0,grid_0003_0000,"[{treecover_class=1, mean=[58.88190818067579, 23.877111727656317, 2.135186960127577, 5.621856729737011], median=[50.0, 20.0, 2.0, -2.5739390952923586], stdDev=[25.29554100538246, 12.441601046251007, 10.137726876236334, 85.95949958146917], min=[0, 0, -48, -30], max=[240, 169, 99, 960], count=[6703, 6703, 6703, 6703], p10=[38.0, 14.0, -5.0, -9.982771355546696], p25=[42.0, 16.0, -1.0, -6.312045374989902], p75=[67.0, 28.0, 4.0, -2.5739390952923586], p90=[93.0, 39.99999999999999, 6.0, 1.098672761538153]}, {treecover_class=2, mean=[72.65517828247653, 29.723438293682996, 2.8307088882023033, 11.48437377265515], median=[63.0, 25.0, 2.0, -6.443324061196106], stdDev=[34.64760691134789, 15.71283252525066, 12.954624864311238, 113.52690678490447], min=[0, 0, -31, -30], max=[222, 109, 98, 950], count=[1499, 1499, 1499, 1499], p10=[39.99999999999999, 15.0, -5.0, -10.070093457943925], p25=[46.0, 18.0, -1.0, -6.443324061196106], p75=[90.0, 38.0, 4.0, -2.6356837606837606], p90=[121.0, 51.0, 7.0, 1.2281879194630871]}, {treecover_class=3, mean=[89.95839199020416, 35.87106308884597, 1.7928509833927906, 10.126055133594129], median=[84.4375, 33.0, 1.0, -6.358089821658816], stdDev=[39.963190059089406, 16.901188012393504, 12.607858659874614, 107.48781965761286], min=[0, 0, -38, -30], max=[268, 127, 99, 960], count=[3560, 3560, 3560, 3560], p10=[44.37965985225906, 17.0, -7.0, -10.089082664328576], p25=[58.5323133355857, 23.0, -3.0, -6.358089821658816], p75=[114.47916666666667, 46.0, 4.0, -2.765407097367804], p90=[144.7, 58.0, 7.0, 5.274390243902439]}, {treecover_class=4, mean=[129.44550668700592, 48.30889137013415, -1.5780853124010092, 6.577942428619891], median=[128.48648648648648, 47.0, -2.0, -2.714319024154096], stdDev=[50.82151513473292, 19.401039103677537, 11.353282744741476, 85.55728198830793], min=[0, 0, -66, -30], max=[301, 134, 99, 960], count=[8751, 8751, 8751, 8751], p10=[62.491379310344826, 24.0, -10.952238258317024, -10.116912463021386], p25=[90.42574034455578, 35.0, -7.0, -6.470929661405463], p75=[166.49137931034483, 60.0, 2.0, 1.2356534043337017], p90=[194.54651162790697, 74.0, 5.0, 9.364206772048787]}]",3,East6,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,45.01060007186489,25.112288896873878,0,grid_0004_0000,"[{treecover_class=1, mean=[68.3378170147102, 27.761646050831985, 2.127624853021387, 3.205663712933295], median=[57.475679061660244, 22.491205046737576, 2.0, -2.6528408471682354], stdDev=[38.94897125090493, 19.002127096954087, 9.039378709743792, 72.2279714277049], min=[0, 0, -39, -30], max=[694, 377, 99, 960], count=[7171, 7171, 7171, 7171], p10=[37.77065186565652, 14.540275103315475, -4.0, -9.999435223815336], p25=[45.47960052820826, 16.461542296991396, -1.0, -6.363653302166437], p75=[81.53636363636363, 32.43067979181466, 4.0, -2.6528408471682354], p90=[109.40845070422536, 44.59513333588399, 7.0, 5.162216875274738]}, {treecover_class=2, mean=[78.72209774077217, 31.950644025774288, 2.223211444633008, 4.573902206194314], median=[70.45605119518163, 28.0, 2.0, -2.6978541612314113], stdDev=[36.43427945658329, 16.88862818449599, 10.013711267515156, 82.29518588340585], min=[0, 0, -33, -30], max=[316, 182, 99, 959], count=[2368, 2368, 2368, 2368], p10=[42.561797752808985, 16.0, -4.0, -10.085227272727273], p25=[52.42253521126761, 19.0, -1.0, -6.23929419366087], p75=[96.55882352941177, 40.0, 4.0, -2.6978541612314113], p90=[126.41176470588235, 52.0, 7.0, 1.2234502428806986]}, {treecover_class=3, mean=[91.13293449458976, 36.5899000309027, 2.0384258815013725, 5.305757648795739], median=[82.51578947368421, 32.466909543944425, 2.0, -6.466657083462338], stdDev=[43.663592101172696, 19.57006807133067, 10.478628718560023, 86.3367472720786], min=[0, 0, -34, -30], max=[349, 290, 99, 960], count=[5197, 5197, 5197, 5197], p10=[46.46363636363636, 16.524886877828056, -5.0, -9.9871216674158], p25=[58.38918222794591, 22.43251205141939, -1.0, -6.466657083462338], p75=[112.4920634920635, 46.44908106188405, 4.0, -2.7205261823924416], p90=[150.46666666666667, 60.53164556962025, 7.0, 5.352112676056338]}, {treecover_class=4, mean=[145.87200699126402, 54.55318554831976, -2.2039002394006175, 5.573991298328617], median=[144.52157834850456, 52.478094477231146, -2.9999999999999996, -2.6520671927780244], stdDev=[59.993234361975695, 23.889051179643648, 10.676822323947233, 75.48040226689768], min=[0, 0, -71, -30], max=[417, 305, 99, 960], count=[26459, 26459, 26459, 26459], p10=[68.45026178010471, 26.480401600474213, -12.0, -10.220492348101635], p25=[98.51851851851852, 38.53062454963898, -8.0, -6.500270762264612], p75=[186.44284670690914, 68.49740148136023, 2.0, 1.3245787006028131], p90=[224.4857142857143, 86.45788633628132, 6.0, 13.408949988265956]}]",4,East6,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,45.23517786561265,25.112288896873878,0,grid_0005_0000,"[{treecover_class=1, mean=[71.37952836549323, 28.757281748612204, 1.829046395104489, 1.1584696905395884], median=[57.44520814578721, 22.414525283323844, 2.0, -2.6239263102761137], stdDev=[45.65739232134831, 19.47202933507856, 8.104568633081447, 62.12185834628838], min=[0, 0, -54, -30], max=[595, 269, 99, 960], count=[9185, 9185, 9185, 9185], p10=[41.625113175868705, 14.507714890586623, -5.0, -9.950105151047449], p25=[45.51499029774985, 16.504978419407653, -1.0, -6.433145532704593], p75=[81.29317269076306, 32.491695649087944, 4.0, -2.6239263102761137], p90=[113.35051546391753, 48.414561272463644, 7.0, 1.199107180049709]}, {treecover_class=2, mean=[82.5722981987992, 33.45317711807872, 2.369503279964421, 2.6761243606849012], median=[68.45652173913044, 28.0, 2.0, -6.488744616298559], stdDev=[46.56102796152841, 20.059910665068205, 9.06331359995309, 75.44215676064404], min=[6, 5, -38, -16], max=[421, 162, 99, 960], count=[1694, 1694, 1694, 1694], p10=[44.594202898550726, 16.0, -4.0, -10.022087709452416], p25=[50.343283582089555, 20.0, -1.0, -6.488744616298559], p75=[100.44444444444444, 41.0, 5.0, -2.718681318681319], p90=[130.46153846153845, 56.0, 7.0, 1.3317307692307692]}, {treecover_class=3, mean=[98.36955001218122, 40.11961316383615, 1.8107875376243519, 1.6035771342733292], median=[88.375, 34.54362416107382, 2.0, -6.467678794556298], stdDev=[49.61362063230992, 23.151304725684827, 8.755347364717267, 68.23636419364799], min=[0, 0, -55, -30], max=[500, 285, 99, 960], count=[3501, 3501, 3501, 3501], p10=[48.503428927680794, 16.586387434554975, -5.0, -9.946486272244204], p25=[60.548780487804876, 22.41025641025641, -2.0, -6.467678794556298], p75=[122.63157894736842, 50.50890077432745, 4.0, -2.617478447332721], p90=[164.79166666666666, 68.64285714285714, 7.0, 1.1634877384196185]}, {treecover_class=4, mean=[152.7397221061917, 56.83571866273411, -1.8681575593858606, 3.7118411259936526], median=[145.509900990099, 52.47404844290657, -2.0, -2.7085123500821124], stdDev=[68.40610545205885, 27.376871323404554, 9.64530609576419, 67.63326017962875], min=[0, 0, -63, -30], max=[645, 293, 99, 960], count=[9265, 9265, 9265, 9265], p10=[69.53100453261824, 26.505, -10.98410073093955, -10.215422269813237], p25=[101.50887538718132, 38.48328546812177, -6.0, -6.463270266597486], p75=[197.49104120221284, 70.52409638554217, 2.0, 1.3309562557449182], p90=[245.4794520547945, 92.5, 5.0, 13.379746835443038]}]",5,East6,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,45.459755659360404,25.112288896873878,0,grid_0006_0000,"[{treecover_class=1, mean=[77.96072768125686, 33.68747456742507, 2.9240494851562224, 10.257629772477973], median=[65.4, 26.474037095830898, 2.0, -6.415490113103023], stdDev=[43.32178675870401, 23.72388706496543, 12.472890139277663, 108.41906438163574], min=[0, 0, -60, -30], max=[551, 371, 99, 960], count=[3549, 3549, 3549, 3549], p10=[41.6151608514099, 14.47514925656919, -4.0, -10.0], p25=[49.460629921259844, 18.50592885375494, -1.0, -6.415490113103023], p75=[93.5119763291377, 40.5, 5.0, -2.7046534294293245], p90=[129.40625, 58.486486486486484, 7.0, 5.278260869565218]}, {treecover_class=2, mean=[102.6341463414634, 45.9099233354859, 2.5910949944529995, 1.5720530525060852], median=[92.54545454545455, 40.62068965517241, 2.0, -6.671588308940984], stdDev=[50.9596175622121, 26.624022841490696, 9.106052451432342, 72.76676716373336], min=[1, 0, -41, -19], max=[413, 285, 99, 958], count=[711, 711, 711, 711], p10=[48.285714285714285, 18.419354838709676, -4.0, -10.181208053691275], p25=[66.46666666666667, 26.25, -1.0, -10.181208053691275], p75=[128.6153846153846, 56.40909090909091, 5.0, -2.6666666666666665], p90=[164.75, 82.14285714285714, 8.0, 5.333333333333333]}, {treecover_class=3, mean=[122.07758592261702, 55.88432630428111, 1.804640036933598, -1.2290288949599335], median=[112.66666666666667, 50.533348826400186, 2.0, -6.668041069100391], stdDev=[54.85778433262924, 29.615071560114195, 8.097299142970272, 57.127640146116114], min=[12, 5, -37, -17], max=[427, 306, 99, 960], count=[1549, 1549, 1549, 1549], p10=[58.27272727272727, 22.625, -5.0, -10.18210547293899], p25=[80.5, 34.53488372093023, -2.0, -10.18210547293899], p75=[156.7, 70.27586206896552, 5.0, -2.766499755280298], p90=[198.44444444444446, 96.53846153846153, 7.0, 1.1904761904761905]}, {treecover_class=4, mean=[152.86186969959132, 65.41645314616832, -0.6933451452527217, -2.386315462618525], median=[153.75413851978323, 62.503937007874015, -1.0, -6.549560780961786], stdDev=[57.72607190786183, 28.789857112678266, 7.515002701616187, 50.05625789270035], min=[0, 0, -32, -30], max=[603, 360, 99, 960], count=[5682, 5682, 5682, 5682], p10=[73.9022232706257, 30.533562441106366, -8.0, -14.122133773112175], p25=[113.41509433962264, 44.49693251533742, -4.0, -10.304898782805136], p75=[189.41290322580645, 82.45370370370371, 3.0, -2.7742339255734074], p90=[225.50704225352112, 104.4927536231884, 6.0, 5.381293782837128]}]",6,East6,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,45.68433345310816,25.112288896873878,0,grid_0007_0000,"[{treecover_class=1, mean=[64.75827431697513, 26.507160915578442, 1.8670625049875968, 5.37958031176937], median=[56.5, 22.0, 2.0, -2.6672723713030604], stdDev=[28.8420051965179, 14.590323353504525, 10.143498689772136, 82.63645126739821], min=[3, 4, -61, -19], max=[293, 139, 98, 950], count=[2317, 2317, 2317, 2317], p10=[40.55555555555556, 15.0, -5.0, -10.089181327835982], p25=[46.492753623188406, 18.0, -2.0, -6.3594845448610595], p75=[74.5, 30.0, 4.0, -2.6672723713030604], p90=[98.5, 41.0, 6.0, 5.188491529981178]}, {treecover_class=2, mean=[82.34127841514257, 35.34990566324823, 3.277312011198685, 7.64975959343903], median=[72.66666666666667, 30.0, 2.0, -6.429838796927404], stdDev=[40.28471946547116, 20.817823278956208, 11.454418914799668, 105.38323032118231], min=[13, 3, -17, -14], max=[390, 127, 99, 960], count=[518, 518, 518, 518], p10=[44.55555555555556, 17.0, -3.0, -10.186813186813186], p25=[56.55555555555556, 22.0, 0.0, -6.429838796927404], p75=[92.25, 40.0, 4.0, -2.8480908341726945], p90=[137.0, 66.0, 7.0, 0.9047678326901532]}, {treecover_class=3, mean=[109.48515462163427, 45.62078352971202, 1.410013186439236, 2.5872431834616525], median=[92.36111111111111, 38.0, 1.0, -6.502446982055465], stdDev=[56.831504215992204, 26.570904833043027, 9.610285054985368, 76.85421432754764], min=[0, 0, -27, -30], max=[410, 161, 99, 960], count=[1662, 1662, 1662, 1662], p10=[54.51724137931034, 20.0, -5.0, -10.113835762270106], p25=[70.48275862068965, 27.0, -2.0, -6.502446982055465], p75=[132.76190476190476, 55.0, 4.0, -2.81469961797221], p90=[188.54545454545453, 88.0, 6.0, 5.233939596195562]}, {treecover_class=4, mean=[150.86691431243958, 56.41402372841427, -1.6169736852706649, 6.082054211711045], median=[140.45454545454547, 50.510471204188484, -2.0, -2.680890496605931], stdDev=[69.534814897191, 27.564568122689906, 10.685697570121679, 81.85556893414558], min=[0, 0, -31, -30], max=[501, 313, 99, 960], count=[10227, 10227, 10227, 10227], p10=[68.52747252747253, 26.5, -11.0, -10.153135313531353], p25=[96.43478260869566, 36.49664429530201, -6.0, -6.468108891364269], p75=[198.51083276912664, 70.48351648351648, 2.0, 1.246178105324372], p90=[248.53658536585365, 94.49253731343283, 5.0, 13.363957597173146]}]",7,East6,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,45.90891124685591,25.112288896873878,0,grid_0008_0000,"[{treecover_class=1, mean=[79.5527044194479, 36.20969199316849, 1.2484305196826544, 1.0183054155694464], median=[53.502252252252255, 22.47722478052764, 1.0, -2.6722639782381683], stdDev=[82.7266526360207, 48.9681604816434, 8.405765031695177, 62.22848049340929], min=[0, 0, -31, -30], max=[799, 396, 99, 954], count=[4667, 4667, 4667, 4667], p10=[37.693665204529225, 14.51294980517992, -6.0, -10.201074468085107], p25=[45.48536130078106, 16.453941637630663, -2.0, -6.437113708485956], p75=[77.6793893129771, 32.44285714285714, 4.0, -2.6722639782381683], p90=[125.38095238095238, 54.4375, 7.0, 5.099526066350711]}, {treecover_class=2, mean=[89.14885632957181, 39.10074306461755, 1.8000622037714415, -1.807709210891069], median=[77.64516129032258, 30.448275862068964, 2.0, -6.493023255813953], stdDev=[64.32486219503181, 37.08722957934712, 7.231959854066878, 56.17180493287346], min=[9, 4, -17, -16], max=[629, 289, 98, 950], count=[581, 581, 581, 581], p10=[41.542857142857144, 16.62857142857143, -4.0, -10.153153153153154], p25=[53.26923076923077, 20.571428571428573, -1.0, -6.493023255813953], p75=[102.0952380952381, 44.44444444444444, 5.0, -2.891891891891892], p90=[138.33333333333334, 60.285714285714285, 7.0, 1.1445851445851445]}, {treecover_class=3, mean=[113.8065536860681, 46.93079177695966, -0.2896420928793826, 0.3818521110333567], median=[105.4780088646437, 44.535714285714285, 0.0, -6.5759312320916905], stdDev=[51.794205066186, 25.271082974530287, 9.05530607794927, 65.64125483399462], min=[10, 5, -48, -17], max=[531, 350, 98, 949], count=[1161, 1161, 1161, 1161], p10=[53.6, 20.466666666666665, -8.0, -10.45752966602781], p25=[73.45945945945945, 28.43695751484696, -4.0, -10.45752966602781], p75=[148.80769230769232, 60.4, 3.0000000000000004, -2.708133971291866], p90=[185.66666666666666, 74.42105263157895, 6.0, 5.216216216216216]}, {treecover_class=4, mean=[157.07334505834362, 58.66672864564363, -4.735755377607898, 2.296253429683184], median=[157.54915897126855, 56.53626200529437, -5.0, -2.5324417396361985], stdDev=[56.419970971054234, 30.484964552092748, 8.528178057290527, 55.49477565466125], min=[8, 3, -25, -18], max=[609, 361, 99, 960], count=[6672, 6672, 6672, 6672], p10=[89.5657894736842, 32.47863247863248, -12.0, -14.00445765230312], p25=[121.63291139240506, 44.51476793248945, -9.0, -10.51473331755468], p75=[189.34463276836158, 68.54654362353293, -1.0, 5.43924545198495], p90=[217.4695652173913, 80.5068493150685, 3.0, 13.466417910447761]}]",8,East6,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,46.13348904060366,25.112288896873878,0,grid_0009_0000,"[{treecover_class=1, mean=[68.65353166969929, 29.733275465744793, 2.0027238218771015, 2.3344110941860023], median=[53.53211695975105, 20.490351186577318, 2.0, -2.6645804580810224], stdDev=[53.40071882560568, 31.719005274709275, 8.837449382367987, 68.28763723036033], min=[0, 0, -75, -30], max=[648, 358, 99, 959], count=[9969, 9969, 9969, 9969], p10=[37.59651210399713, 14.538767340357511, -5.0, -10.108978041529786], p25=[41.46548045995232, 16.491621173381247, -1.0, -6.380538582701132], p75=[73.4198717948718, 30.45508982035928, 4.0, -2.6645804580810224], p90=[109.61428571428571, 46.41891891891892, 7.0, 5.191588785046729]}, {treecover_class=2, mean=[75.40279737629673, 31.451962350168245, 3.0209710183132006, 9.0981872877545], median=[64.44827586206897, 27.0, 2.0, -6.537501002700607], stdDev=[38.90518055519281, 18.41317464805638, 11.97840220642952, 106.99385758965043], min=[11, 5, -24, -15], max=[387, 256, 99, 960], count=[1267, 1267, 1267, 1267], p10=[40.46666666666667, 15.0, -4.0, -9.995283018867925], p25=[50.38775510204081, 19.0, -1.0, -6.537501002700607], p75=[90.33333333333333, 37.0, 5.0, -2.67852619592624], p90=[122.83333333333333, 53.0, 7.0, 5.346938775510204]}, {treecover_class=3, mean=[94.20354652971353, 37.91359965599059, 1.4449340953589227, 6.684636685798632], median=[85.32888315672058, 34.0, 1.0, -6.571239196139774], stdDev=[46.56166082272463, 21.04061694788174, 11.405373174404435, 94.07514080915514], min=[0, 0, -53, -30], max=[512, 245, 98, 953], count=[2577, 2577, 2577, 2577], p10=[45.27272727272727, 18.0, -6.0, -10.109519603067804], p25=[61.24752475247525, 23.0, -3.0, -6.571239196139774], p75=[117.55113004816599, 47.0, 4.0, -2.6917470172527254], p90=[157.2258064516129, 63.0, 6.0, 5.201834862385321]}, {treecover_class=4, mean=[155.1448061779173, 54.07262173431521, -4.237636813537891, 8.112401474692671], median=[153.41127910212413, 50.48032175695602, -5.0, -2.6059193057444463], stdDev=[65.16670168873341, 26.0473760111559, 10.648319429728035, 74.66579730730493], min=[0, 0, -40, -30], max=[636, 296, 99, 960], count=[17480, 17480, 17480, 17480], p10=[73.71491228070175, 26.500022384384653, -13.987251567525044, -10.345076392093981], p25=[105.58918918918918, 36.49213512493833, -9.983959336942442, -6.429218008580926], p75=[197.55301870465286, 66.46555819477435, 0.0, 5.324554608830364], p90=[237.3780487804878, 84.47802197802197, 4.0, 21.455242966751918]}]",9,East6,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
