system:index,center_lat,center_lon,col,grid_id,groups,numeric_id,region,row,.geo
0,44.11228889687388,25.112288896873878,0,grid_0000_0000,"[{slope=1, mean=[59.70742666336147, 97.69162905918644], median=[24.514618547281867, 88.51461854728186], stdDev=[66.6057797142032, 54.905424735510564], min=[-27, 0], max=[253, 263], count=[7178, 7178], p10=[0.5460096725342366, 38.567262707729405], p25=[4.391618032259547, 48.60820179967547], p75=[106.53061224489795, 134.52307692307693], p90=[166.38888888888889, 180.39473684210526]}, {slope=2, mean=[51.49131051884561, 92.08825106450088], median=[16.375, 80.82352941176471], stdDev=[62.27729412289221, 52.16691760105334], min=[-20, 0], max=[252, 265], count=[1121, 1121], p10=[0.4636363636363636, 38.53253895508708], p25=[2.6016791955481793, 46.38461538461539], p75=[96.75, 124.7], p90=[150.75, 168.25]}, {slope=3, mean=[32.982164449818626, 73.8514207980653], median=[7.0, 60.0], stdDev=[51.49519168428175, 43.88981369543042], min=[-17, 0], max=[212, 217], count=[234, 234], p10=[-1.0, 38.0], p25=[1.0, 43.0], p75=[48.0, 92.0], p90=[112.0, 146.0]}, {slope=4, mean=[12.052631578947368, 49.63157894736842], median=[2.0, 44.0], stdDev=[33.41048320230694, 28.85391613722986], min=[-16, 0], max=[115, 119], count=[19, 19], p10=[-16.0, 0.0], p25=[0.0, 36.0], p75=[7.0, 59.0], p90=[99.0, 105.0]}, {slope=5, mean=[null, null], median=[null, null], stdDev=[null, null], min=[null, null], max=[null, null], count=[0, 0], p10=[null, null], p25=[null, null], p75=[null, null], p90=[null, null]}]",0,East6,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,44.33686669062163,25.112288896873878,0,grid_0001_0000,"[{slope=1, mean=[48.350385784234454, 102.47613258042182], median=[9.25558880478789, 89.50717703349282], stdDev=[68.39322167532697, 68.36604000417391], min=[-22, 0], max=[508, 631], count=[7579, 7579], p10=[1.507806071388858, 41.48654708520179], p25=[1.507806071388858, 53.410739285553], p75=[81.45283018867924, 125.36363636363636], p90=[129.7037037037037, 169.61111111111111]}, {slope=2, mean=[39.039936430988746, 90.81941141498217], median=[8.538461538461538, 76.33333333333333], stdDev=[60.40376000572873, 56.76964256449696], min=[-18, 0], max=[374, 457], count=[1030, 1030], p10=[0.56, 40.43973634651601], p25=[2.5361527967257844, 48.55555555555556], p75=[58.42857142857143, 116.7], p90=[126.0, 166.625]}, {slope=3, mean=[19.93631168831169, 73.61667532467533], median=[4.0, 58.44444444444444], stdDev=[40.71776568013216, 57.8790334564289], min=[-11, 0], max=[203, 464], count=[228, 228], p10=[-3.0, 37.0], p25=[0.0, 44.285714285714285], p75=[15.0, 92.6], p90=[83.0, 126.5]}, {slope=4, mean=[26.923076923076923, 72.25641025641026], median=[2.0, 62.0], stdDev=[51.51319702227403, 43.46039632415014], min=[-28, 0], max=[194, 212], count=[39, 39], p10=[-6.0, 26.0], p25=[-2.0, 44.0], p75=[23.0, 92.0], p90=[118.0, 140.0]}, {slope=5, mean=[43.0, 83.4], median=[9.0, 79.0], stdDev=[78.7070517806378, 65.03106949758707], min=[-4, 15], max=[200, 204], count=[5, 5], p10=[-4.0, 15.0], p25=[-1.0, 40.0], p75=[11.0, 79.0], p90=[200.0, 204.0]}]",1,East6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,44.56144448436939,25.112288896873878,0,grid_0002_0000,"[{slope=1, mean=[37.79284716731569, 97.18061271992374], median=[7.0, 94.49564873417721], stdDev=[49.53088506279542, 44.40035978007569], min=[-15, 0], max=[186, 293], count=[5316, 5316], p10=[0.0, 42.495226640607385], p25=[1.0, 56.58771929824562], p75=[73.0, 136.42105263157896], p90=[123.0, 158.55696202531647]}, {slope=2, mean=[19.313725490196077, 69.30882352941177], median=[4.0, 56.0], stdDev=[35.93416649116604, 36.807697412524945], min=[-13, 0], max=[170, 205], count=[408, 408], p10=[-1.0, 37.0], p25=[1.0, 43.0], p75=[16.5, 89.0], p90=[72.0, 126.0]}, {slope=3, mean=[23.353448275862068, 64.12931034482759], median=[4.0, 55.5], stdDev=[44.917789715623584, 36.99080271812539], min=[-28, 0], max=[164, 171], count=[116, 116], p10=[-3.0, 34.0], p25=[0.0, 42.0], p75=[14.5, 80.5], p90=[97.0, 120.0]}, {slope=4, mean=[16.434782608695652, 71.95652173913044], median=[3.0, 65.0], stdDev=[26.57201222430084, 29.920878650301187], min=[-7, 31], max=[103, 130], count=[23, 23], p10=[0.0, 34.0], p25=[1.0, 43.0], p75=[21.0, 97.0], p90=[48.0, 109.0]}, {slope=5, mean=[10.5, 69.0], median=[10.5, 69.0], stdDev=[10.5, 15.0], min=[0, 54], max=[21, 84], count=[2, 2], p10=[0.0, 54.0], p25=[0.0, 54.0], p75=[21.0, 84.0], p90=[21.0, 84.0]}]",2,East6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,44.78602227811714,25.112288896873878,0,grid_0003_0000,"[{slope=1, mean=[41.95461095242304, 90.32360837087862], median=[8.57916827159346, 64.53117665467063], stdDev=[60.38207348554154, 56.842145526723726], min=[-27, 0], max=[310, 326], count=[8012, 8012], p10=[0.5470448458369886, 38.567113740683034], p25=[2.5691810034170786, 44.524324324324326], p75=[66.61764705882354, 130.4390243902439], p90=[146.42307692307693, 180.51785714285714]}, {slope=2, mean=[58.45438493533926, 94.48809283351855], median=[28.383333333333333, 74.54022988505747], stdDev=[66.28180477534104, 57.36882889196945], min=[-28, 0], max=[314, 319], count=[5352, 5352], p10=[0.554814644490432, 40.476470588235294], p25=[4.369658400610093, 48.49091239078016], p75=[100.6774193548387, 128.54699021316532], p90=[164.25, 186.5185185185185]}, {slope=3, mean=[70.04484453340703, 102.19218605760709], median=[58.56410256410256, 88.515625], stdDev=[67.25245801742322, 56.257089537889904], min=[-36, 0], max=[314, 319], count=[4680, 4680], p10=[0.5702127659574469, 42.522935779816514], p25=[8.581196581196581, 58.45679012345679], p75=[112.51612903225806, 136.3939393939394], p90=[172.6, 188.5]}, {slope=4, mean=[75.73280757650862, 106.82921775608729], median=[72.69444444444444, 96.6590909090909], stdDev=[64.79026371710181, 52.196778146658204], min=[-36, 0], max=[314, 319], count=[2469, 2469], p10=[2.532416082231383, 48.68888888888889], p25=[12.479166666666666, 68.41176470588235], p75=[118.57692307692308, 136.2962962962963], p90=[164.6875, 182.78571428571428]}, {slope=5, mean=[81.38974810699101, 111.9433537174123], median=[82.625, 102.38461538461539], stdDev=[63.885220104154975, 49.79735954599104], min=[-9, 0], max=[290, 291], count=[695, 695], p10=[4.380952380952381, 54.44444444444444], p25=[18.555555555555557, 74.58333333333333], p75=[124.4, 144.6], p90=[170.25, 182.8]}]",3,East6,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,45.01060007186489,25.112288896873878,0,grid_0004_0000,"[{slope=1, mean=[74.1062159054128, 111.10687265677544], median=[48.460912788070495, 89.50738916256158], stdDev=[77.04237283211297, 67.49218627824274], min=[-20, 0], max=[376, 746], count=[10450, 10450], p10=[0.55638210973708, 41.496115521624894], p25=[4.353277403272713, 53.4362996498426], p75=[134.39430086149767, 165.51919551668152], p90=[190.54545454545453, 205.65420560747663]}, {slope=2, mean=[86.57676007146901, 119.85158047984234], median=[70.56818181818181, 101.4605750870493], stdDev=[80.49844816865738, 70.862253422409], min=[-19, 0], max=[378, 729], count=[10683, 10683], p10=[2.5051967169239004, 45.51996820981522], p25=[10.473170731707317, 61.551226623142], p75=[144.54545454545453, 173.38072511094367], p90=[204.43589743589743, 221.58241758241758]}, {slope=3, mean=[96.4022561129317, 128.96444134857256], median=[84.50420168067227, 113.45853658536585], stdDev=[81.70758323077474, 71.30836033525563], min=[-21, 0], max=[402, 729], count=[11716, 11716], p10=[2.6288532675709, 49.4328468862182], p25=[20.44, 73.57584986324038], p75=[152.39583333333334, 177.5379746835443], p90=[214.5, 233.43305845258305]}, {slope=4, mean=[102.98045565344128, 133.88093139871748], median=[94.39795918367346, 118.4625], stdDev=[79.70077460631695, 68.68724674442086], min=[-16, 0], max=[400, 409], count=[8346, 8346], p10=[6.477157360406092, 56.56020195791259], p25=[32.416666666666664, 80.49090909090908], p75=[156.4927536231884, 178.49122807017545], p90=[220.46013745704465, 236.61290322580646]}, {slope=5, mean=[106.39749809531753, 133.9850933411551], median=[98.51923076923077, 120.453125], stdDev=[77.16987979773619, 66.18992161539678], min=[-19, 0], max=[386, 394], count=[4188, 4188], p10=[6.408450704225352, 60.38235294117647], p25=[42.5, 84.56896551724138], p75=[156.5612876599257, 176.59259259259258], p90=[214.5, 230.33333333333334]}]",4,East6,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,45.23517786561265,25.112288896873878,0,grid_0005_0000,"[{slope=1, mean=[41.45721875013313, 82.16622360253739], median=[9.364745444592163, 57.500484535913145], stdDev=[68.12913972179423, 61.06278193755222], min=[-14, 0], max=[628, 669], count=[3691, 3691], p10=[1.4190955836671029, 37.75423728813559], p25=[1.4190955836671029, 45.45688843842757], p75=[49.31578947368421, 93.13793103448276], p90=[137.66666666666666, 157.66666666666666]}, {slope=2, mean=[59.228386521131966, 96.1302320682757], median=[17.53058288472248, 69.45043030024738], stdDev=[77.59346266249923, 68.94663087020791], min=[-18, 0], max=[649, 712], count=[7905, 7905], p10=[1.5076318480967625, 41.5635263972891], p25=[5.418905287164756, 49.2801212760348], p75=[97.41052631578947, 121.38461538461539], p90=[173.825, 197.6153846153846]}, {slope=3, mean=[84.63955298313073, 118.24718220817715], median=[65.54651162790698, 97.71621621621621], stdDev=[83.7616157639394, 74.22764195557677], min=[-17, 0], max=[561, 588], count=[7180, 7180], p10=[1.4833480487374182, 45.59867591014919], p25=[9.424802110817941, 61.34649122807018], p75=[133.59756097560975, 157.5072463768116], p90=[209.4255319148936, 229.375]}, {slope=4, mean=[98.87153594222372, 134.85209603757008], median=[85.55681818181819, 113.29824561403508], stdDev=[87.59655720165547, 78.15944252371901], min=[-17, 0], max=[685, 694], count=[4869, 4869], p10=[1.527760280752272, 53.51341452247962], p25=[17.59090909090909, 77.52694610778443], p75=[149.51470588235293, 181.36784785435628], p90=[225.35, 249.75]}, {slope=5, mean=[107.56343864676114, 141.08307979128864], median=[100.47712245437715, 128.46236559139786], stdDev=[79.23847952009626, 69.18255202412607], min=[-16, 0], max=[461, 484], count=[6006, 6006], p10=[6.531914893617022, 66.49790794979079], p25=[42.39393939393939, 88.5679012345679], p75=[154.2, 182.56666666666666], p90=[216.5, 238.61111111111111]}]",5,East6,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,45.459755659360404,25.112288896873878,0,grid_0006_0000,"[{slope=1, mean=[48.16539790537425, 96.90462568757059], median=[12.565217391304348, 74.6], stdDev=[67.2919937429051, 62.45607082030261], min=[-10, 3], max=[305, 357], count=[587, 587], p10=[0.5017015846006594, 42.42857142857143], p25=[2.4166666666666665, 50.583333333333336], p75=[74.0, 132.33333333333334], p90=[149.0, 198.33333333333334]}, {slope=2, mean=[57.72839864147033, 104.04617242108715], median=[26.846153846153847, 86.4], stdDev=[68.18292620616887, 62.94068507161744], min=[-18, 0], max=[339, 345], count=[1651, 1651], p10=[0.5134134021775733, 42.54545454545455], p25=[4.297297297297297, 54.55263157894737], p75=[94.4, 136.25], p90=[158.5, 204.5]}, {slope=3, mean=[73.73285207438929, 117.75603194540783], median=[57.607142857142854, 101.52631578947368], stdDev=[75.48546719884074, 68.67704970537179], min=[-18, 0], max=[677, 681], count=[3355, 3355], p10=[1.3653846153846154, 45.3366703452625], p25=[9.369127516778523, 61.35114503816794], p75=[117.3030303030303, 161.70833333333334], p90=[181.1818181818182, 213.57575757575756]}, {slope=4, mean=[86.00227774659552, 130.07035114316778], median=[73.275, 117.486424725977], stdDev=[75.11119216335872, 67.66198293277104], min=[-16, 0], max=[677, 681], count=[5898, 5898], p10=[1.5813953488372092, 53.53061224489796], p25=[17.5, 77.43609022556392], p75=[133.85089899137552, 177.46594231529042], p90=[193.38297872340425, 221.37735849056602]}, {slope=5, mean=[111.99561224726128, 146.24323598212013], median=[105.46501837481851, 137.47366705774996], stdDev=[76.31245307166435, 67.33950074746357], min=[-27, 0], max=[678, 702], count=[27147, 27147], p10=[9.53780275052677, 69.60322542882915], p25=[53.461770062426965, 93.51450228983524], p75=[161.48811727035044, 193.5035829148564], p90=[217.66517857142858, 237.57142857142858]}]",6,East6,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,45.68433345310816,25.112288896873878,0,grid_0007_0000,"[{slope=1, mean=[40.72558406232081, 86.69554858032974], median=[10.420350666866478, 70.48936170212765], stdDev=[60.53494666125515, 51.68035421983968], min=[-11, 0], max=[410, 420], count=[2515, 2515], p10=[0.5211761068938275, 42.609224057338736], p25=[2.57980700783042, 50.61052631578947], p75=[62.608695652173914, 106.46428571428571], p90=[116.6, 150.54545454545453]}, {slope=2, mean=[85.12216248472684, 114.91118828202198], median=[70.58823529411765, 92.53756640526181], stdDev=[78.79483057241644, 71.2910541940129], min=[-15, 0], max=[436, 443], count=[3462, 3462], p10=[2.5317146218846935, 46.517857142857146], p25=[16.375, 64.48076923076923], p75=[122.4, 146.30769230769232], p90=[204.63636363636363, 224.54545454545453]}, {slope=3, mean=[113.78408450258132, 144.00480790548886], median=[101.73611111111111, 125.52542372881356], stdDev=[88.40315302966675, 80.51517061712147], min=[-13, 0], max=[559, 600], count=[3717, 3717], p10=[5.712782615862202, 53.49315068493151], p25=[41.39473684210526, 81.38], p75=[169.56603773584905, 197.28205128205127], p90=[241.43478260869566, 261.4634146341463]}, {slope=4, mean=[127.33133015321988, 157.74779676202846], median=[118.54385964912281, 146.31914893617022], stdDev=[87.03177521570689, 78.56551416447478], min=[-13, 0], max=[470, 470], count=[5030, 5030], p10=[10.515151515151516, 66.39024390243902], p25=[62.642857142857146, 94.56818181818181], p75=[184.43589743589743, 210.475], p90=[250.6, 268.5625]}, {slope=5, mean=[137.74130853112476, 164.27085772632364], median=[130.5234899328859, 153.57390448310255], stdDev=[83.74048342403776, 75.8195774676076], min=[-21, 0], max=[441, 571], count=[16701, 16701], p10=[22.51764705882353, 73.58419243986255], p25=[78.38732394366197, 105.42337662337663], p75=[194.51260504201682, 217.62090007627762], p90=[252.46478873239437, 269.35]}]",7,East6,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,45.90891124685591,25.112288896873878,0,grid_0008_0000,"[{slope=1, mean=[58.80864040828303, 118.65820692626136], median=[13.331125827814569, 93.23214285714286], stdDev=[77.02770098807828, 90.47596848330367], min=[-18, 0], max=[650, 756], count=[3573, 3573], p10=[1.2424689499435453, 41.504348998718896], p25=[1.2424689499435453, 53.33862433862434], p75=[109.6875, 169.68312284730195], p90=[185.51612903225808, 209.94285714285715]}, {slope=2, mean=[79.67867776557233, 129.52591700039457], median=[37.6, 121.69148936170212], stdDev=[88.46637583578918, 80.24571131415591], min=[-18, 0], max=[709, 839], count=[5900, 5900], p10=[1.3444741490879204, 41.4683994398905], p25=[5.471695733640819, 61.22784433119333], p75=[153.6909090909091, 181.48031496062993], p90=[201.66101694915255, 221.35802469135803]}, {slope=3, mean=[83.27567911685655, 128.83001463948054], median=[53.166666666666664, 113.33802194565136], stdDev=[91.19038666297467, 83.22612182112901], min=[-9, 0], max=[752, 777], count=[2861, 2861], p10=[1.4198371912247365, 41.561691355709726], p25=[5.44377717025949, 61.25], p75=[145.23076923076923, 181.85714285714286], p90=[209.48054593603584, 225.625]}, {slope=4, mean=[73.1271338062262, 116.07221789555663], median=[52.857142857142854, 98.4], stdDev=[72.6645185488169, 67.53973843477611], min=[-11, 1], max=[293, 395], count=[747, 747], p10=[0.40540540540540543, 42.75], p25=[10.125, 58.125], p75=[120.0, 166.33333333333334], p90=[192.25, 213.0]}, {slope=5, mean=[79.11713596946463, 111.34479525898148], median=[72.75, 98.0], stdDev=[63.36766958167122, 53.46267720786797], min=[-16, 0], max=[259, 279], count=[235, 235], p10=[4.4, 53.0], p25=[20.0, 71.0], p75=[124.66666666666667, 148.75], p90=[171.0, 193.0]}]",8,East6,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,46.13348904060366,25.112288896873878,0,grid_0009_0000,"[{slope=1, mean=[62.472385513458306, 114.87409845958638], median=[17.520210290442126, 85.52328511053317], stdDev=[79.72471173008711, 76.93129578523406], min=[-15, 0], max=[684, 715], count=[5079, 5079], p10=[1.375244114136921, 41.388888888888886], p25=[5.540663839742653, 53.55664702030125], p75=[105.32558139534883, 169.29166666666666], p90=[197.27027027027026, 221.56519313038626]}, {slope=2, mean=[70.08313299102797, 120.65215485035598], median=[25.42188940092166, 97.38992677040858], stdDev=[85.17865462479634, 80.03578571725782], min=[-15, 0], max=[717, 738], count=[13147, 13147], p10=[1.3928486835067775, 37.610071340112675], p25=[5.400904972674189, 53.35428682208113], p75=[121.53086419753086, 177.5], p90=[205.57777777777778, 233.3871267789043]}, {slope=3, mean=[74.35650148456033, 125.28973861302464], median=[33.76923076923077, 105.6178861788618], stdDev=[85.59883902011063, 80.51919796101866], min=[-14, 0], max=[586, 709], count=[9184, 9184], p10=[1.4989138826236357, 41.50765864332604], p25=[5.448478428757718, 57.44863683947021], p75=[121.45, 181.46012702893438], p90=[213.80642218573252, 241.4272947309626]}, {slope=4, mean=[80.90588276989911, 128.11240804216519], median=[58.52777777777778, 109.37037037037037], stdDev=[83.24069373799554, 76.194909740089], min=[-20, 0], max=[415, 530], count=[3883, 3883], p10=[2.609506844177761, 45.53636363636364], p25=[10.404091171009668, 65.51988849130399], p75=[128.33333333333334, 177.47169811320754], p90=[210.57142857142858, 245.4375]}, {slope=5, mean=[94.84878293975468, 137.5114401895932], median=[82.75, 118.55555555555556], stdDev=[83.54204086321008, 74.93399897590832], min=[-12, 0], max=[399, 411], count=[2001, 2001], p10=[4.4, 52.625], p25=[20.304347826086957, 80.51724137931035], p75=[144.5, 188.84615384615384], p90=[214.0, 246.66666666666666]}]",9,East6,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
